Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
230,Keenan Allen,LAC,WR,16,BAL,1,5,8400,12.46
231,Davante Adams,GB,WR,2,MIN,11,13,8100,12.44
232,Julian Edelman,NE,WR,13,MIN,6,3,7200,12.43
233,Kenny Golladay,DET,WR,11,CAR,24,16,6400,12.4
233,Keenan Allen,LAC,WR,9,SEA,3,14,7400,12.4
235,T.Y. Hilton,IND,WR,13,JAX,7,4,7600,12.39
236,Cooper Kupp,LAR,WR,10,SEA,6,18,6500,12.38
237,Kenny Golladay,DET,WR,14,ARI,16,11,7200,12.36
238,Emmanuel Sanders,DEN,WR,13,CIN,32,20,7000,12.35
239,Stefon Diggs,MIN,WR,11,CHI,3,15,7300,12.31
240,Julian Edelman,NE,WR,6,KC,31,18,6900,12.3
240,Julian Edelman,NE,WR,8,BUF,10,4,7300,12.3
242,Brandin Cooks,LAR,WR,9,NO,27,32,7500,12.28
242,Adam Thielen,MIN,WR,1,SF,28,23,7600,12.28
244,Brandin Cooks,LAR,WR,14,CHI,4,17,7600,12.27
245,Tyler Boyd,CIN,WR,12,CLE,27,19,6800,12.26
245,Emmanuel Sanders,DEN,WR,7,ARI,15,2,6700,12.26
247,T.Y. Hilton,IND,WR,1,CIN,17,3,7200,12.23
247,Mike Evans,TB,WR,16,DAL,7,4,7200,12.23
247,Cooper Kupp,LAR,WR,5,SEA,7,12,6700,12.23
247,Julian Edelman,NE,WR,12,NYJ,16,23,7400,12.23
251,Cooper Kupp,LAR,WR,6,DEN,26,13,6800,12.21
252,Stefon Diggs,MIN,WR,17,CHI,2,11,6700,12.2
253,Mike Evans,TB,WR,15,BAL,2,5,7300,12.17
254,Chris Hogan,NE,WR,1,HOU,31,26,6700,12.14
255,Brandin Cooks,LAR,WR,10,SEA,6,18,7700,12.13
256,Stefon Diggs,MIN,WR,2,GB,7,7,7400,12.12
256,Robert Woods,LAR,WR,5,SEA,7,12,7200,12.12
258,Jarvis Landry,CLE,WR,8,PIT,26,29,6700,12.11
259,Brandin Cooks,LAR,WR,6,DEN,26,13,7800,12.1
260,Larry Fitzgerald,ARI,WR,1,WAS,23,7,7300,12.09
261,Will Fuller,HOU,WR,4,IND,11,1,7600,12.08
262,Corey Davis,TEN,WR,11,IND,20,9,6200,12.07
263,Brandin Cooks,LAR,WR,4,MIN,14,5,7700,12.06
263,Odell Beckham Jr,NYG,WR,1,JAX,2,1,7800,12.06
265,Tyler Boyd,CIN,WR,7,KC,31,17,6800,12.02
265,Jarvis Landry,CLE,WR,5,BAL,3,14,6900,12.02
267,T.Y. Hilton,IND,WR,11,TEN,1,20,6800,12.01
267,Brandin Cooks,LAR,WR,16,ARI,15,10,7400,12.01
267,Adam Thielen,MIN,WR,2,GB,7,7,7600,12.01
270,Demaryius Thomas,DEN,WR,4,KC,31,22,6500,11.94
270,Tyler Boyd,CIN,WR,6,PIT,29,30,6300,11.94
272,JuJu Smith-Schuster,PIT,WR,9,BAL,1,6,7200,11.93
273,Emmanuel Sanders,DEN,WR,2,OAK,21,21,6800,11.91
274,Josh Gordon,NE,WR,10,TEN,3,25,6700,11.9
274,Brandin Cooks,LAR,WR,3,LAC,21,21,7800,11.9
276,Josh Gordon,NE,WR,12,NYJ,16,23,6800,11.87
277,Julian Edelman,NE,WR,10,TEN,3,25,7300,11.85
277,Jarvis Landry,CLE,WR,9,KC,28,15,6600,11.85
279,D.J. Moore,CAR,WR,13,TB,31,27,6400,11.83
280,Robby Anderson,NYJ,WR,17,NE,17,13,7000,11.81
281,Emmanuel Sanders,DEN,WR,3,BAL,6,16,6900,11.78
281,Julian Edelman,NE,WR,7,CHI,10,27,7100,11.78
283,Jarvis Landry,CLE,WR,3,NYJ,4,17,6900,11.77
284,Tyler Boyd,CIN,WR,15,OAK,29,19,6700,11.76
284,Larry Fitzgerald,ARI,WR,2,LAR,12,1,7100,11.76
286,Golden Tate,DET,WR,1,NYJ,26,22,7700,11.74
287,Mike Evans,TB,WR,1,NO,13,19,7700,11.72
287,Demaryius Thomas,DEN,WR,1,SEA,8,18,7000,11.72
289,Demaryius Thomas,DEN,WR,2,OAK,21,21,7000,11.71
290,Corey Davis,TEN,WR,5,BUF,20,10,6400,11.7
290,Golden Tate,DET,WR,2,SF,17,17,7100,11.7
292,Golden Tate,DET,WR,4,DAL,4,2,6800,11.69
293,Nelson Agholor,PHI,WR,3,IND,11,7,6600,11.67
294,Amari Cooper,DAL,WR,11,ATL,30,30,6600,11.65
294,Allen Robinson,CHI,WR,4,TB,29,28,6500,11.65
296,Corey Davis,TEN,WR,13,NYJ,18,24,5900,11.64
296,Doug Baldwin,SEA,WR,5,LAR,5,11,6700,11.64
298,Allen Robinson,CHI,WR,3,ARI,27,9,6500,11.63
299,Brandin Cooks,LAR,WR,17,SF,24,27,7000,11.62
300,Amari Cooper,OAK,WR,3,MIA,5,3,6900,11.6
301,Alshon Jeffery,PHI,WR,6,NYG,11,3,6800,11.59
301,Sterling Shepard,NYG,WR,4,NO,31,32,6200,11.59
303,Tyler Lockett,SEA,WR,6,OAK,28,27,6600,11.57
304,T.Y. Hilton,IND,WR,2,WAS,1,5,7200,11.56
305,Doug Baldwin,SEA,WR,6,OAK,28,27,6200,11.55
306,Julian Edelman,NE,WR,14,MIA,25,13,6900,11.54
307,Tyler Boyd,CIN,WR,5,MIA,15,8,6300,11.52
308,Josh Gordon,NE,WR,15,PIT,13,12,6800,11.51
309,Devin Funchess,CAR,WR,9,TB,32,30,6400,11.48
310,Tyler Boyd,CIN,WR,11,BAL,2,7,7000,11.46
310,Julian Edelman,NE,WR,9,GB,16,23,7300,11.46
312,Julian Edelman,NE,WR,5,IND,18,9,6500,11.43
313,Emmanuel Sanders,DEN,WR,5,NYJ,11,18,6700,11.42
313,Nelson Agholor,PHI,WR,2,TB,31,30,6100,11.42
315,Kenny Golladay,DET,WR,5,GB,8,16,6300,11.4
315,Jarvis Landry,CLE,WR,10,ATL,29,30,6400,11.4
317,Amari Cooper,OAK,WR,5,LAC,22,28,6500,11.39
317,Golden Tate,DET,WR,8,SEA,4,10,7100,11.39
319,Alshon Jeffery,PHI,WR,8,JAX,3,1,7400,11.37
319,Alshon Jeffery,PHI,WR,16,HOU,10,9,6300,11.37
321,Corey Davis,TEN,WR,15,NYG,20,9,5800,11.36
321,Emmanuel Sanders,DEN,WR,6,LAR,8,17,6700,11.36
323,D.J. Moore,CAR,WR,15,NO,17,32,6300,11.35
324,Calvin Ridley,ATL,WR,6,TB,32,31,6700,11.34
324,AJ Green,CIN,WR,13,DEN,20,16,8000,11.34
326,Josh Gordon,NE,WR,13,MIN,6,3,6600,11.33
