Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
187,Jermichael Finley,GB,TE,16,CHI,6,3,50,20,1,11,3.3,6.7,0,0,0,0,0,0,9.5,9.5
187,Brent Celek,PHI,TE,9,CHI,9,7,77.8,60,0,21,6.7,8.6,0,0,0,0,0,0,9.5,9.5
190,Tony Scheffler,DET,TE,11,CAR,3,2,66.7,24,1,17,8,12,0,0,0,0,0,0,9.4,9.4
190,Brandon Pettigrew,DET,TE,4,DAL,9,6,66.7,64,0,22,7.1,10.7,0,0,0,0,0,0,9.4,9.4
192,Kyle Rudolph,MIN,TE,16,WAS,2,2,100,23,1,17,11.5,11.5,0,0,0,0,0,0,9.3,9.3
192,Antonio Gates,LAC,TE,8,KC,7,4,57.1,73,0,27,10.4,18.2,0,0,0,0,0,0,9.3,9.3
192,Jermichael Finley,GB,TE,2,CAR,6,5,83.3,68,0,39,11.3,13.6,0,0,0,0,0,0,9.3,9.3
195,Anthony Fasano,MIA,TE,7,DEN,2,2,100,22,1,16,11,11,0,0,0,0,0,0,9.2,9.2
195,Jared Cook,TEN,TE,7,HOU,2,2,100,22,1,17,11,11,0,0,0,0,0,0,9.2,9.2
195,Daniel Fells,DEN,TE,16,BUF,2,2,100,22,1,17,11,11,0,0,0,0,0,0,9.2,9.2
195,Aaron Hernandez,NE,TE,12,PHI,7,6,85.7,62,0,18,8.9,10.3,0,0,0,0,0,0,9.2,9.2
199,Owen Daniels,HOU,TE,7,TEN,5,4,80,71,0,34,14.2,17.8,0,0,0,0,0,0,9.1,9.1
199,Lance Kendricks,LAR,TE,6,GB,6,4,66.7,71,0,45,11.8,17.8,0,0,0,0,0,0,9.1,9.1
199,Todd Heap,ARI,TE,3,SEA,10,6,60,61,0,28,6.1,10.2,0,0,0,0,0,0,9.1,9.1
202,Jason Witten,DAL,TE,3,WAS,9,6,66.7,60,0,23,6.7,10,0,0,0,0,0,0,9,9
202,Brent Celek,PHI,TE,11,NYG,6,6,100,60,0,18,10,10,0,0,0,0,0,0,9,9
202,Tony Gonzalez,ATL,TE,5,GB,8,6,75,60,0,23,7.5,10,0,0,0,0,0,0,9,9
205,Dennis Pitta,BAL,TE,12,SF,2,2,100,19,1,11,9.5,9.5,0,0,0,0,0,0,8.9,8.9
